respondent_id,age,gender,country,education_level,industry,job_role,years_in_role,company_size,digital_adoption_score,ai_usage_frequency,growth_mindset_score,limiting_beliefs_score,change_resistance_level,training_hours_last_year,leadership_score,team_openness_score,recent_failed_initiatives,positive_feedback_percent,retention_intent,survey_date
1,58,Female,USA,PhD,Retail,Staff,6,1-50,74.28,Rarely,67.83,25.39,Low,8,10.02,0.0,2,46.35,Unlikely,2025-06-26 04:47:08.279077
2,48,Male,Canada,Bachelor's,Healthcare,Executive,2,1-50,59.48,Rarely,70.74,39.86,Medium,28,59.32,79.85,1,54.13,Likely,2024-09-29 04:47:08.279077
3,34,Male,Germany,Bachelor's,Education,Manager,3,201-1000,50.32,Often,51.42,50.48,Medium,22,35.99,62.65,1,31.47,Unlikely,2024-08-15 04:47:08.279077
4,27,Male,Germany,Master's,Energy,HR,4,201-1000,40.84,Rarely,54.36,59.7,Medium,8,36.23,10.02,1,43.69,Unlikely,2024-12-21 04:47:08.279077
5,40,Male,USA,High School,Finance,Technical Specialist,4,1001+,66.0,Occasionally,57.9,34.46,Medium,13,46.48,58.56,0,31.95,Unlikely,2024-12-06 04:47:08.279077
6,58,Female,UK,Bachelor's,Media,Staff,8,1-50,85.78,Never,78.95,15.9,Low,11,37.7,45.14,0,64.14,Likely,2024-11-25 04:47:08.279077
7,38,Male,India,High School,Retail,Manager,2,51-200,51.24,Often,63.07,38.78,Medium,19,42.45,55.34,4,53.92,Likely,2024-10-13 04:47:08.279077
8,42,Female,France,Bachelor's,Media,Manager,4,201-1000,47.41,Often,58.74,34.22,Medium,18,92.89,73.9,1,71.68,Likely,2024-09-24 04:47:08.279077
9,30,Male,Germany,High School,Media,HR,4,201-1000,53.83,Rarely,36.4,79.6,High,11,41.36,51.4,4,47.01,Unlikely,2025-07-15 04:47:08.279077
10,30,Female,UK,Bachelor's,Government,Manager,8,201-1000,64.26,Rarely,45.22,57.35,Medium,22,72.93,92.84,5,59.58,Likely,2025-05-09 04:47:08.279077
11,43,Female,Brazil,Bachelor's,Education,Staff,6,201-1000,54.99,Occasionally,92.28,18.42,Low,7,65.4,48.92,0,81.69,Very Likely,2024-09-16 04:47:08.279077
12,55,Male,USA,Other,Manufacturing,HR,5,51-200,60.83,Often,85.85,14.47,Low,15,33.75,19.68,0,56.22,Likely,2025-06-01 04:47:08.279077
13,59,Male,USA,Bachelor's,IT,Executive,3,51-200,76.18,Occasionally,74.88,20.48,Low,32,88.7,74.46,0,84.97,Very Likely,2025-03-07 04:47:08.279077
14,43,Male,Australia,Bachelor's,Media,Staff,4,1-50,54.76,Daily,58.87,47.1,Medium,5,66.23,61.14,0,55.72,Likely,2024-08-19 04:47:08.279077
15,22,Female,USA,Bachelor's,Retail,Staff,4,1-50,50.04,Daily,56.03,50.08,Medium,12,81.16,85.04,0,75.88,Very Likely,2024-08-18 04:47:08.279077
16,41,Male,Canada,High School,Finance,Manager,5,1-50,47.25,Often,58.64,31.5,Low,25,65.64,53.79,0,63.54,Likely,2024-09-19 04:47:08.279077
17,21,Female,Australia,Bachelor's,Government,Staff,5,201-1000,65.44,Occasionally,78.41,25.09,Low,9,68.1,84.44,1,61.1,Likely,2024-11-22 04:47:08.279077
18,43,Female,USA,Master's,Retail,Staff,6,1-50,61.28,Occasionally,78.13,22.12,Low,16,69.89,56.81,2,78.11,Very Likely,2024-11-30 04:47:08.279077
19,49,Female,Japan,High School,Manufacturing,Executive,6,201-1000,63.43,Rarely,81.14,19.79,Low,24,100.0,98.0,0,95.72,Very Likely,2025-04-18 04:47:08.279077
20,57,Female,Canada,Master's,Retail,Manager,3,1-50,56.59,Rarely,78.36,31.65,Low,22,57.51,76.98,0,78.8,Very Likely,2025-06-07 04:47:08.279077
